ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
1,No,No,No,0,0,0,,API
2,No,No,No,5,674,2.5,,API
3,Yes,No,No,2,1532,2,Business Administration,Landing Page Submission
4,No,No,No,1,305,1,Media and Advertising,Landing Page Submission
5,Yes,No,No,2,1428,1,,Landing Page Submission
6,No,No,No,0,0,0,,API
7,Yes,No,No,2,1640,2,Supply Chain Management,Landing Page Submission
8,No,No,No,0,0,0,,API
9,No,No,No,2,71,2,IT Projects Management,Landing Page Submission
10,No,No,No,4,58,4,Finance Management,API
11,Yes,No,No,8,1351,8,Travel and Tourism,Landing Page Submission
12,Yes,No,No,8,1343,2.67,Human Resource Management,Landing Page Submission
13,Yes,No,No,11,1538,11,Marketing Management,API
14,No,No,No,5,170,5,Business Administration,Landing Page Submission
15,No,Yes,No,1,481,1,Business Administration,Landing Page Submission
16,Yes,No,No,6,1012,6,,API
17,No,No,No,0,0,0,,API
18,No,No,No,6,973,6,,API
19,Yes,No,No,6,1688,3,Marketing Management,Landing Page Submission
20,No,No,No,3,98,3,,API
21,No,No,No,1,233,1,Media and Advertising,Landing Page Submission
22,No,No,No,4,377,1.33,,API
23,Yes,No,No,1,1013,1,"Banking, Investment And Insurance",Landing Page Submission
24,No,No,No,4,771,4,Finance Management,Landing Page Submission
25,Yes,No,No,6,1137,1.5,Marketing Management,API
26,Yes,No,No,3,1068,3,Travel and Tourism,Landing Page Submission
27,Yes,No,No,4,1000,2,Finance Management,Landing Page Submission
28,Yes,No,No,6,1315,6,Media and Advertising,Landing Page Submission
29,No,No,No,5,182,5,,Landing Page Submission
30,Yes,No,No,3,78,3,International Business,API
31,Yes,No,No,7,1174,3.5,Human Resource Management,Landing Page Submission
32,No,No,No,3,88,1.5,,API
33,No,No,No,4,223,2,,API
34,No,No,No,3,74,1.5,,API
35,Yes,No,No,4,16,2,E-COMMERCE,Landing Page Submission
36,Yes,No,No,3,98,3,Human Resource Management,API
37,No,No,No,4,1622,4,Operations Management,Landing Page Submission
38,Yes,No,No,5,563,5,Finance Management,Landing Page Submission
39,No,No,No,2,310,2,,API
40,Yes,No,No,4,25,4,Operations Management,Landing Page Submission
41,No,No,No,3,342,3,,API
42,No,Yes,No,7,38,7,Retail Management,Landing Page Submission
43,No,No,No,5,199,5,,API
44,No,No,No,5,222,5,Finance Management,Landing Page Submission
45,No,No,No,6,275,3,Operations Management,Landing Page Submission
46,No,No,No,4,287,2,Marketing Management,Landing Page Submission
47,No,No,No,2,547,2,Finance Management,Landing Page Submission
48,No,No,No,0,0,0,,API
49,No,No,No,6,1225,6,Supply Chain Management,API
50,No,No,No,0,0,0,,API
51,Yes,No,No,0,0,0,,API
52,No,No,No,5,160,5,Business Administration,Landing Page Submission
53,No,No,No,6,394,2,E-COMMERCE,Landing Page Submission
54,No,No,No,6,286,1.5,,API
55,No,No,No,7,96,2.33,,API
56,No,No,No,2,12,2,,API
57,Yes,No,No,13,436,13,IT Projects Management,Landing Page Submission
58,Yes,No,No,8,903,8,Finance Management,API
59,No,No,No,17,409,8.5,Human Resource Management,Landing Page Submission
60,No,No,No,11,685,5.5,Services Excellence,Landing Page Submission
61,No,No,No,4,213,4,International Business,API
62,No,No,No,0,0,0,,API
63,Yes,No,No,7,1468,3.5,Marketing Management,API
64,No,No,No,0,0,0,,API
65,Yes,No,No,4,1435,4,Operations Management,Landing Page Submission
66,Yes,No,No,1,157,1,Hospitality Management,Landing Page Submission
67,Yes,No,No,3,885,1.5,Operations Management,API
68,Yes,No,No,0,0,0,,API
69,No,No,No,0,0,0,Finance Management,API
70,No,No,No,0,0,0,,API
71,No,No,No,1,1710,1,Retail Management,Landing Page Submission
72,No,No,No,4,219,4,Business Administration,Landing Page Submission
73,No,Yes,No,3,111,3,International Business,Landing Page Submission
74,No,No,No,6,224,6,,API
75,No,No,No,5,224,1.67,Operations Management,Landing Page Submission
76,Yes,No,No,2,1071,2,Marketing Management,Landing Page Submission
77,Yes,No,No,6,595,3,"Banking, Investment And Insurance",Landing Page Submission
78,Yes,No,No,,1096,,,Lead Add Form
79,No,No,No,4,520,4,Operations Management,API
80,Yes,No,No,,705,,Hospitality Management,Lead Add Form
