ID,Country,Specialization,How did you hear about Us,Current_Occupation,What matters most to you in choosing a course,Origin,Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Purchased
1,Russia,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,API,Olark Chat,No,No,0,0,0,Page Visited on Website,No
2,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,5,674,2.5,Email Opened,No
3,India,Business Administration,,Student,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,2,1532,2,Email Opened,Yes
4,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,1,305,1,Unreachable,No
5,India,,Other,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,2,1428,1,Converted to Lead,Yes
6,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
7,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,2,1640,2,Email Opened,Yes
8,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
9,India,IT Projects Management,,,,Landing Page Submission,Direct Traffic,No,No,2,71,2,Email Opened,No
10,India,Finance Management,Word Of Mouth,,,API,Google,No,No,4,58,4,Email Opened,No
11,India,Travel and Tourism,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,8,1351,8,Email Opened,Yes
12,India,Human Resource Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,8,1343,2.67,Page Visited on Website,Yes
13,India,Marketing Management,,Unemployed,Better Career Prospects,API,Organic Search,No,No,11,1538,11,Email Opened,Yes
14,India,Business Administration,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,5,170,5,Email Opened,No
15,Russia,Business Administration,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,Yes,No,1,481,1,Email Bounced,No
16,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,6,1012,6,Email Opened,Yes
17,,,,,,API,Olark Chat,No,No,0,0,0,Olark Chat Conversation,No
18,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,6,973,6,Email Link Clicked,No
19,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,6,1688,3,Page Visited on Website,Yes
20,India,,,Unemployed,Better Career Prospects,API,Organic Search,No,No,3,98,3,Page Visited on Website,No
21,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,1,233,1,Unreachable,No
22,India,,,Unemployed,Better Career Prospects,API,Google,No,No,4,377,1.33,Page Visited on Website,No
23,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,1,1013,1,Converted to Lead,Yes
24,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,4,771,4,Email Link Clicked,No
25,India,Marketing Management,,Unemployed,Better Career Prospects,API,Google,No,No,6,1137,1.5,Email Opened,Yes
26,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,3,1068,3,Form Submitted on Website,Yes
27,India,Finance Management,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,4,1000,2,Email Opened,Yes
28,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,6,1315,6,Email Opened,Yes
29,India,,,Student,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,5,182,5,Email Opened,No
30,India,International Business,,Unemployed,Better Career Prospects,API,Google,No,No,3,78,3,Unreachable,Yes
31,India,Human Resource Management,,Unemployed,Better Career Prospects,Landing Page Submission,Direct Traffic,No,No,7,1174,3.5,Email Opened,Yes
32,India,,,Unemployed,Better Career Prospects,API,Google,No,No,3,88,1.5,Email Opened,No
33,India,,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,4,223,2,Page Visited on Website,No
34,India,,,,,API,Organic Search,No,No,3,74,1.5,Email Opened,No
35,India,E-COMMERCE,,Unemployed,Better Career Prospects,Landing Page Submission,Organic Search,No,No,4,16,2,Page Visited on Website,Yes
36,India,Human Resource Management,,Unemployed,Better Career Prospects,API,Referral Sites,No,No,3,98,3,Email Opened,Yes
37,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,4,1622,4,Unreachable,No
38,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,Landing Page Submission,Google,No,No,5,563,5,Email Opened,Yes
39,India,,,Unemployed,Better Career Prospects,API,Google,No,No,2,310,2,Email Link Clicked,No
40,India,Operations Management,Email,Unemployed,Better Career Prospects,Landing Page Submission,Google,No,No,4,25,4,Email Opened,Yes
